Downloads (M),Age,Top Developer,Ads,Size (MB),Rating
@relation 'app'
@attribute 'Downloads (M)' integer 
@attribute 'Age'{3+,12+,18+}
@attribute 'Top Developer' {Yes,No}
@attribute 'Ads' {Yes, No}
@attribute 'Size (MB)' integer
@attribute 'Rating' integer
@data
1,18+,No,Yes,21.54,4
0.1,12+,No,No,8.31,4.5
0.1,18+,No,Yes,2.14,3.3
10,18+,Yes,Yes,14.37,4.4
10,18+,Yes,Yes,6.86,4.2
100,3+,Yes,No,34.09,4.2
1,12+,No,Yes,5.14,3.9
10,12+,No,Yes,16.88,4.4
10,18+,Yes,Yes,3.69,4.2
0.5,18+,No,No,4.65,4.2
10,18+,Yes,Yes,28.59,4.2
0.5,3+,No,Yes,19.42,3.8
5,18+,Yes,Yes,34.17,4.1
0.5,18+,No,Yes,3.96,3.5
1,18+,No,Yes,21.9,4.6
100,18+,Yes,Yes,29.09,4.3
1,18+,No,Yes,11.47,4
10,18+,Yes,Yes,18.76,4.2
0.1,12+,No,Yes,3.22,3.9
0.1,12+,No,Yes,4.32,3.7
1,12+,No,No,20.55,4.7
1,18+,Yes,Yes,8.03,4.1
10,18+,Yes,Yes,14.64,4
1,18+,No,No,15.3,4
10,18+,Yes,Yes,13.19,4.1
10,18+,No,Yes,33.89,4.3
10,18+,Yes,Yes,7.51,4.1
0.5,18+,No,Yes,9.14,4
10,18+,No,Yes,20.94,4.2
1,18+,No,Yes,2.56,4.2
10,3+,No,No,20.88,4.3
10,3+,No,Yes,15.79,5
100,12+,Yes,Yes,36.44,4.3
50,3+,No,No,35.43,4.3
1000,18+,Yes,Yes,57,4.4
1000,18+,Yes,No,61.62,3.9
500,18+,Yes,Yes,25.08,4.3
100,18+,Yes,Yes,4.83,4.3
500,18+,Yes,Yes,20,4.1
100,18+,Yes,No,10.74,4.3
500,18+,Yes,Yes,35.42,4.2
100,18+,Yes,Yes,26.68,4.3
1000,18+,Yes,No,55.14,3.9
5,18+,No,Yes,27.22,4.2
1,18+,No,No,25.67,4.2
500,18+,Yes,Yes,67,4
50,18+,Yes,No,9.84,4.5
100,18+,Yes,Yes,35.49,4.3
0.001,18+,No,Yes,10.93,4.4
100,18+,Yes,No,37.34,4.3
100,18+,Yes,Yes,36.44,4.3
0.5,18+,No,No,27.91,4.4
1,18+,No,No,47.92,4.4
0.1,18+,No,Yes,7,4.2
0.01,18+,No,Yes,2.04,4
10,18+,No,Yes,16.32,4.2
0.1,18+,No,Yes,0.5,3.9
1,18+,Yes,No,19.67,4.3
0.0005,18+,No,No,0.7,5
1,18+,No,Yes,20.06,4.4
1,18+,Yes,No,23.29,4.6
50,18+,Yes,No,10.07,4
1,18+,No,Yes,13.75,4.1
10,18+,Yes,No,31.57,4.3
5,18+,No,Yes,5.1,4.5
100,18+,Yes,Yes,16.12,4.4
50,18+,No,No,55.77,4.1
10,18+,No,No,1.6,4.2
0.5,18+,No,Yes,2.16,3.4
10,18+,No,Yes,15.75,4.3
0.1,18+,No,No,20.47,4.3
0.05,18+,No,Yes,4.91,3.5
0.1,18+,No,No,1.95,4.4
0.05,18+,No,No,19.48,3.8
5,18+,No,No,20.68,3.1
0.5,18+,No,No,5.5,3.4
0.1,18+,No,No,30.52,4.4
0.005,18+,No,No,0.2,2.5
10,18+,No,Yes,13.63,4.2
1,18+,No,No,10.84,4.2
50,18+,Yes,Yes,32.91,4.1
10,18+,No,No,16.26,4.6
10,3+,Yes,Yes,7.59,4.2
0.05,3+,No,Yes,26.59,4.3
0.05,12+,No,Yes,11.72,4
1,3+,No,No,14.85,4.1
5,3+,No,Yes,7.2,4.1
0.001,3+,No,Yes,16.53,5
1,12+,No,Yes,35.83,4.1
1,3+,No,Yes,29,4.4
0.5,3+,No,No,17.22,4
10,3+,No,No,11.37,4.1
1,3+,No,No,17,4.1
1,3+,No,No,20.74,4.1
1,3+,No,No,19.77,4
1,3+,No,No,9.78,4
10,3+,No,Yes,13.6,4.2
0.1,3+,No,No,0.5,3.2
0.1,12+,No,No,46.18,4.4
0.1,3+,No,No,56.67,4.3
50,18+,Yes,Yes,36.67,4
1,12+,No,Yes,5.14,3.9
50,3+,No,No,25.65,4.2
10,12+,Yes,Yes,27.77,4
1,12+,No,Yes,32.41,4.2
10,12+,No,No,22.31,4.1
0.5,12+,No,No,20.6,4.4
10,3+,Yes,Yes,29.28,4.2
10,12+,No,Yes,12.56,4.1
50,12+,Yes,Yes,22.16,4.4
5,12+,No,Yes,18.4,4
0.5,12+,No,Yes,8.89,4.3
0.1,12+,No,Yes,3.22,3.9
10,3+,Yes,Yes,31.22,4.1
0.5,3+,No,Yes,8.6,4.3
5,18+,Yes,Yes,15.62,4.1
10,12+,Yes,Yes,6.86,4.2
10,18+,Yes,Yes,13.19,4.1
100,18+,Yes,Yes,29.09,4.3
1,3+,No,No,18.27,4.5
10,3+,Yes,No,67.59,4.6
0.01,3+,No,Yes,4.39,4.3
1,12+,No,Yes,12.42,4.1
0.01,3+,No,No,18.41,4.5
1,3+,No,Yes,14.85,3.9
0.001,12+,No,Yes,6.93,4.6
0.005,3+,No,Yes,26.21,4.8
0.05,3+,No,No,46.73,4.1
0.005,3+,No,No,9.25,3.4
0.005,3+,No,No,17.62,4.1
0.1,12+,No,No,14.88,4.2
0.005,3+,No,No,21.58,4.3
